Sector,n_stocks,n_with_PE,n_with_classic_PEG,median_PE_TTM,median_Forward_PE,median_PEG_TTM_growth,median_PEG_5Y_expected,median_mktcap_B
Energy Minerals,103,58,43,12.99,10.98,0.10,0.66,2.65
Transportation,145,98,39,13.39,13.96,0.13,0.84,1.17
Miscellaneous,60,42,4,13.59,8.60,0.08,3.68,0.34
Communications,34,16,7,15.04,23.82,0.00,1.02,3.42
Consumer Durables,127,66,39,17.29,16.16,0.14,1.47,0.55
Finance,1216,872,316,17.50,11.74,0.42,1.04,0.54
Consumer Non-Durables,141,90,68,18.06,14.29,0.46,1.82,2.22
Consumer Services,197,111,75,19.57,17.55,0.33,1.25,1.32
Retail Trade,158,102,78,19.85,17.27,0.31,1.25,1.35
Utilities,91,77,61,20.71,18.29,1.68,2.20,5.84
Non-Energy Minerals,177,85,32,21.03,15.12,0.01,0.96,1.16
Process Industries,161,73,45,22.34,16.31,0.00,1.02,1.00
Health Services,79,40,40,24.20,17.95,0.26,1.41,1.51
Health Technology,828,149,101,24.23,18.76,-0.02,1.50,0.28
Commercial Services,226,101,64,24.46,15.26,0.14,0.88,0.32
Distribution Services,94,49,37,24.70,16.67,0.45,1.46,0.42
Producer Manufacturing,293,162,132,25.65,17.75,0.34,1.13,1.19
Technology Services,578,233,198,25.71,18.74,0.05,1.04,0.74
Industrial Services,146,85,67,26.60,19.88,0.44,1.07,2.15
Electronic Technology,333,178,131,39.01,25.40,0.49,0.95,1.69
